USPS|GEOID|GEOIDFQ|ANSICODE|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
TX|48429|0500000US48429|01384000|Stephens County|2322497190|64147706|896.721|24.768|32.738052|-98.839344
TX|48431|0500000US48431|01384001|Sterling County|2391722762|167451|923.449|0.065|31.835944|-101.059876
TX|48433|0500000US48433|01384002|Stonewall County|2373238697|10177387|916.313|3.93|33.17958|-100.253807
TX|48435|0500000US48435|01384003|Sutton County|3765674766|1277066|1453.935|0.493|30.522185|-100.513359
TX|48437|0500000US48437|01384004|Swisher County|2305502700|27277988|890.16|10.532|34.526319|-101.743865
TX|48439|0500000US48439|01384005|Tarrant County|2241375331|99387546|865.4|38.374|32.772119|-97.291224
TX|48441|0500000US48441|01384006|Taylor County|2371228264|9760311|915.536|3.768|32.297126|-99.89043
TX|48443|0500000US48443|01384007|Terrell County|6107081789|259482|2357.958|0.1|30.232343|-102.072513
TX|48445|0500000US48445|01384008|Terry County|2302115386|5411758|888.852|2.089|33.171229|-102.339284
TX|48447|0500000US48447|01384009|Throckmorton County|2363499444|7586186|912.552|2.929|33.170695|-99.205796
